ID,maths_skills,stroop_condition,stroop_time
67,A little below average,compatible,4.83
67,A little below average,incompatible,6.819999999999999
68,A little below average,control,4.35
68,A little below average,compatible,3.2800000000000002
68,A little below average,incompatible,5.7
69,Well above average,control,6.66
69,Well above average,compatible,5
69,Well above average,incompatible,6.35
70,Well below average,control,11.8
70,Well below average,compatible,10.8
70,Well below average,incompatible,12
71,Average,control,6.4
71,Average,compatible,2.8
71,Average,incompatible,6.6
72,A little above the average,control,4.489999999999999
72,A little above the average,compatible,4.42
72,A little above the average,incompatible,5.9
73,Average,control,6.71
73,Average,compatible,6.51
73,Average,incompatible,7.130000000000001
74,Average,control,4.46
74,Average,compatible,3.75
74,Average,incompatible,5.470000000000001
75,A little above the average,control,5.5
75,A little above the average,compatible,4.3
75,A little above the average,incompatible,7
76,Average,control,3.8
76,Average,compatible,3.5
76,Average,incompatible,5.3
77,Average,control,7.64
77,Average,compatible,4.28
77,Average,incompatible,8.3
78,A little above the average,control,5.6
78,A little above the average,compatible,5.4
78,A little above the average,incompatible,6.6
79,A little above the average,control,3
79,A little above the average,compatible,3.2
79,A little above the average,incompatible,5.300000000000001
80,Average,control,4.7
80,Average,compatible,3.5
80,Average,incompatible,6.5
81,A little above the average,control,4.7
81,A little above the average,compatible,4.4
81,A little above the average,incompatible,6.2
82,A little above the average,control,4.71
82,A little above the average,compatible,2.3800000000000003
82,A little above the average,incompatible,6.9
83,Average,control,6
83,Average,compatible,3.8
83,Average,incompatible,10
84,Average,control,4.9
84,Average,compatible,3.58
84,Average,incompatible,8.2
85,Well below average,control,4.8
85,Well below average,compatible,2.8
85,Well below average,incompatible,8.5
86,A little above the average,control,5.4
86,A little above the average,compatible,4.53
86,A little above the average,incompatible,6.49
87,A little below average,control,6.72
87,A little below average,compatible,5.42
87,A little below average,incompatible,6.09
88,A little below average,control,3.75
88,A little below average,compatible,4.24
88,A little below average,incompatible,6.38
89,Average,control,4.6899999999999995
89,Average,compatible,7.319999999999999
89,Average,incompatible,6.42
90,Average,control,3.97
90,Average,compatible,3
90,Average,incompatible,7.16
91,Average,control,7.2
91,Average,compatible,3.9400000000000004
91,Average,incompatible,7.39
92,A little below average,control,4.49
92,A little below average,compatible,3.3000000000000003
92,A little below average,incompatible,6.45
93,Average,control,6.94
93,Average,compatible,6.140000000000001
93,Average,incompatible,8.950000000000001
94,A little below average,control,8.299999999999999
94,A little below average,compatible,6.1499999999999995
94,A little below average,incompatible,8.53
95,Well above average,control,5.7
95,Well above average,compatible,7.3
95,Well above average,incompatible,8.4
96,A little below average,control,7.5
96,A little below average,compatible,3.9
96,A little below average,incompatible,8.2
97,A little above the average,control,5.9
97,A little above the average,compatible,3.1
97,A little above the average,incompatible,7.2
98,Well above average,control,7.5
98,Well above average,compatible,4.7
98,Well above average,incompatible,6.5
99,Average,control,4.4
99,Average,compatible,2.6
99,Average,incompatible,4.7
100,A little above the average,control,7.1
100,A little above the average,compatible,5.1
100,A little above the average,incompatible,8.5
101,Average,control,5.5
101,Average,compatible,4.5
101,Average,incompatible,4.9
102,Average,control,7.6
102,Average,compatible,3.5
102,Average,incompatible,8
103,A little below average,control,5.3100000000000005
103,A little below average,compatible,3.22
103,A little below average,incompatible,4.94
104,A little above the average,control,3.66
104,A little above the average,compatible,2.99
104,A little above the average,incompatible,5.7299999999999995
105,Average,control,5.9
105,Average,compatible,3.66
105,Average,incompatible,9.24
106,Average,control,3.95
106,Average,compatible,3.13
106,Average,incompatible,5.06
107,A little below average,control,0.2400000000000001
107,A little below average,compatible,0.8
107,A little below average,incompatible,0.44000000000000006
108,A little above the average,control,4.7
108,A little above the average,compatible,2.6
108,A little above the average,incompatible,4.9
109,Average,control,5.28
109,Average,compatible,3.52
109,Average,incompatible,6.25
110,Average,control,6.3
110,Average,compatible,8.2
110,Average,incompatible,15.3
111,A little above the average,control,6.5
111,A little above the average,compatible,4.5
111,A little above the average,incompatible,8.5
112,Average,control,7.38
112,Average,compatible,4.890000000000001
112,Average,incompatible,7.85
113,A little above the average,control,7.71
113,A little above the average,compatible,7.95
113,A little above the average,incompatible,8.450000000000001
114,Well above average,control,9.5
114,Well above average,compatible,6
114,Well above average,incompatible,14.2
115,Average,control,5.5
115,Average,compatible,4.7
115,Average,incompatible,8
116,A little above the average,control,4.91
116,A little above the average,compatible,2.7800000000000002
116,A little above the average,incompatible,5.93
117,Average,control,5.5
117,Average,compatible,4.8
117,Average,incompatible,6.3
118,A little below average,control,7.6
118,A little below average,compatible,4
118,A little below average,incompatible,13.4
119,Average,control,6.2
119,Average,compatible,4.2
119,Average,incompatible,8.5
120,A little below average,control,7.4
120,A little below average,compatible,4.1
120,A little below average,incompatible,5.8
121,A little below average,control,5.6
121,A little below average,compatible,3.6
121,A little below average,incompatible,8.1
122,A little below average,control,6.75
122,A little below average,compatible,6.5
122,A little below average,incompatible,11.94
123,Average,control,4.430000000000001
123,Average,compatible,4.29
123,Average,incompatible,5.430000000000001
124,Average,control,4.5
124,Average,compatible,4.4
124,Average,incompatible,5.4
125,A little above the average,control,6.8
125,A little above the average,compatible,4.1
125,A little above the average,incompatible,6.8
126,A little below average,control,5.5
126,A little below average,compatible,5
126,A little below average,incompatible,7.3
127,A little below average,control,5.2
127,A little below average,compatible,4.890000000000001
127,A little below average,incompatible,11.110000000000001
128,Average,control,5.3
128,Average,compatible,4.1
128,Average,incompatible,7
129,Average,control,5.71
129,Average,compatible,4.1899999999999995
129,Average,incompatible,6.79
130,A little above the average,control,6.5
130,A little above the average,compatible,6.5
130,A little above the average,incompatible,6.7
131,A little below average,control,6.95
131,A little below average,compatible,5.04
131,A little below average,incompatible,5.03
132,Well below average,control,6.219999999999999
132,Well below average,compatible,3.74
132,Well below average,incompatible,7.51
133,Average,control,5.08
133,Average,compatible,4.81
133,Average,incompatible,8.46
134,A little above the average,control,3.8299999999999996
134,A little above the average,compatible,2.8099999999999996
134,A little above the average,incompatible,6.609999999999999
135,A little above the average,control,4.1
135,A little above the average,compatible,2.5
135,A little above the average,incompatible,9.3
136,A little above the average,control,4.46
136,A little above the average,compatible,2.8
136,A little above the average,incompatible,8.350000000000001
137,Average,control,2.7
137,Average,compatible,2.4
137,Average,incompatible,5
138,Average,control,8
138,Average,compatible,4.7
138,Average,incompatible,10.7
139,A little below average,control,4.5
139,A little below average,compatible,5.4
139,A little below average,incompatible,6.5
140,Average,control,6.4
140,Average,compatible,4.3
140,Average,incompatible,7
141,Average,control,4
141,Average,compatible,5.5
141,Average,incompatible,10.3
142,A little below average,control,4.9
142,A little below average,compatible,4
142,A little below average,incompatible,5
143,Well above average,control,4.5
143,Well above average,compatible,3.55
143,Well above average,incompatible,5.81
144,Average,control,4.4799999999999995
144,Average,compatible,4.88
144,Average,incompatible,4.58
145,Average,control,7.29
145,Average,compatible,7.03
145,Average,incompatible,8.55
146,Average,control,4.25
146,Average,compatible,4.180000000000001
146,Average,incompatible,6.8500000000000005
147,Average,control,5.01
147,Average,compatible,4.37
147,Average,incompatible,5.2
148,Average,control,5.88
148,Average,compatible,6.130000000000001
148,Average,incompatible,7.31
149,Average,control,6.29
149,Average,compatible,2.72
149,Average,incompatible,7.3
150,Average,control,5.159999999999999
150,Average,compatible,3.65
150,Average,incompatible,6.919999999999999
151,A little below average,control,6.119999999999999
151,A little below average,compatible,5.3999999999999995
151,A little below average,incompatible,7.18
152,Average,control,15.16
152,Average,compatible,16.55
152,Average,incompatible,16.400000000000002
153,A little above the average,control,5.2
153,A little above the average,compatible,2.8
153,A little above the average,incompatible,6.5
154,A little above the average,control,3.48
154,A little above the average,compatible,3.58
154,A little above the average,incompatible,3.6599999999999993
155,A little below average,control,3.2800000000000002
155,A little below average,compatible,3.66
155,A little below average,incompatible,5.609999999999999
156,Average,control,5
156,Average,compatible,4.6
156,Average,incompatible,6.9
157,A little below average,control,9.1
157,A little below average,compatible,3.5
157,A little below average,incompatible,9.1
158,Average,control,3.6
158,Average,compatible,3.3
158,Average,incompatible,6.2
159,Average,control,10.4
159,Average,compatible,4.7
159,Average,incompatible,10
160,Average,control,4.4
160,Average,compatible,3.3
160,Average,incompatible,6.4
161,Average,control,4.7
161,Average,compatible,4.59
161,Average,incompatible,4.06
162,Average,control,4.42
162,Average,compatible,3.61
162,Average,incompatible,5.1
163,Average,control,4.3
163,Average,compatible,2.1
163,Average,incompatible,6.4
164,Average,control,10.4
164,Average,compatible,7
164,Average,incompatible,21.4
165,Average,control,6.6
165,Average,compatible,4.7
165,Average,incompatible,10
166,Average,control,4.5
166,Average,compatible,3.4
166,Average,incompatible,7.1
167,Average,control,6.2
167,Average,compatible,6.3
167,Average,incompatible,8.5
168,Average,control,4.1
168,Average,compatible,2.7
168,Average,incompatible,7
169,Average,control,4.5
169,Average,compatible,4.6
169,Average,incompatible,10.8
170,Well above average,control,1.75
170,Well above average,compatible,2.9299999999999997
170,Well above average,incompatible,2.5600000000000005
